[5, 2, 7, 4, 6, 1, 1, 5, 6, 2, 11, 8]
[5, 2, 4, 7, 6, 1, 1, 5, 6, 2, 11, 8]
[5, 2, 4, 6, 7, 1, 1, 5, 6, 2, 11, 8]
[5, 2, 4, 6, 1, 7, 1, 5, 6, 2, 11, 8]
[5, 2, 4, 6, 1, 1, 7, 5, 6, 2, 11, 8]
[5, 2, 4, 6, 1, 1, 5, 7, 6, 2, 11, 8]
[5, 2, 4, 6, 1, 1, 5, 6, 7, 2, 11, 8]
[5, 2, 4, 6, 1, 1, 5, 6, 2, 7, 11, 8]
[5, 2, 4, 6, 1, 1, 5, 6, 2, 7, 8, 11]
[2, 5, 4, 6, 1, 1, 5, 6, 2, 7, 8, 11]
[2, 4, 5, 6, 1, 1, 5, 6, 2, 7, 8, 11]
[2, 4, 5, 1, 6, 1, 5, 6, 2, 7, 8, 11]
[2, 4, 5, 1, 1, 6, 5, 6, 2, 7, 8, 11]
[2, 4, 5, 1, 1, 5, 6, 6, 2, 7, 8, 11]
[2, 4, 5, 1, 1, 5, 6, 2, 6, 7, 8, 11]
[2, 4, 1, 5, 1, 5, 6, 2, 6, 7, 8, 11]
[2, 4, 1, 1, 5, 5, 6, 2, 6, 7, 8, 11]
[2, 4, 1, 1, 5, 5, 2, 6, 6, 7, 8, 11]
[2, 1, 4, 1, 5, 5, 2, 6, 6, 7, 8, 11]
[2, 1, 1, 4, 5, 5, 2, 6, 6, 7, 8, 11]
[2, 1, 1, 4, 5, 2, 5, 6, 6, 7, 8, 11]
[1, 2, 1, 4, 5, 2, 5, 6, 6, 7, 8, 11]
[1, 1, 2, 4, 5, 2, 5, 6, 6, 7, 8, 11]
[1, 1, 2, 4, 2, 5, 5, 6, 6, 7, 8, 11]
[1, 1, 2, 2, 4, 5, 5, 6, 6, 7, 8, 11]
